nrg_cons,nrg_prc,currency,geo\time	2021	2020	2019	2018	2017	2016S2 	2015S2 	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
KWH1000-2499,NETC,EUR,PL	0.0506 	0.0513 	0.0478 	0.0491 	0.0555 	0.0573 	0.0614 	0.0603 	0.0592 	0.0598 	0.0553 	0.0581 	0.0503 	0.0609 	0.0718 
KWH1000-2499,NETC,EUR,PT	0.0470 	0.0489 	0.0536 	0.0550 	0.0572 	0.0606 	0.0523 	0.0668 	0.0596 	0.0506 	0.0528 	0.0551 	0.0616 	0.0531 	: 
KWH1000-2499,NETC,EUR,RO	0.0424 	0.0428 	0.0420 	0.0410 	0.0419 	0.0455 	0.0522 	0.0530 	0.0525 	0.0484 	0.0494 	0.0493 	0.0490 	0.0549 	0.0593 
KWH1000-2499,NETC,EUR,RS	0.0436 	0.0385 	0.0358 	0.0361 	0.0360 	0.0348 	0.0358 	0.0378 	0.0421 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,EUR,SE	0.0952 	0.0826 	0.1002 	0.0971 	0.1014 	0.0979 	0.0942 	0.0932 	0.0876 	0.0858 	0.0811 	0.0708 	0.0629 	0.0642 	0.0590 
KWH1000-2499,NETC,EUR,SI	0.0648 	0.0582 	0.0694 	0.0717 	0.0702 	0.0708 	0.0685 	0.0699 	0.0698 	0.0704 	0.0680 	0.0673 	0.0681 	0.0585 	: 
KWH1000-2499,NETC,EUR,SK	0.0582 	0.0581 	0.0596 	0.0625 	0.0623 	0.0973 	0.0930 	0.0841 	0.0898 	0.0875 	0.0892 	0.0806 	0.0741 	0.0811 	0.0755 
KWH1000-2499,NETC,EUR,TR	0.0221 	0.0247 	0.0281 	0.0201 	0.0271 	0.0323 	0.0348 	0.0295 	0.0294 	0.0341 	0.0288 	0.0195 	0.0150 	0.0141 	: 
KWH1000-2499,NETC,EUR,UA	: 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,EUR,UK	: 	: 	0.0541 	0.0460 	0.0502 	0.0533 	0.0557 	0.0469 	0.0392 	0.0393 	0.0363 	: 	0.0439 	0.0477 	: 
KWH1000-2499,NETC,EUR,XK	0.0276 	0.0309 	0.0342 	0.0254 	0.0254 	0.0278 	0.0276 	0.0238 	0.0253 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,NAC,AL	5.5400 e	5.5400 e	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,NAC,AT	0.0849 	0.0782 	0.0791 	0.0766 	0.0728 	0.0770 	0.0727 	0.0719 	0.0731 	0.0724 	0.0718 	0.0739 	0.0739 	0.0728 	: 
KWH1000-2499,NETC,NAC,BA	0.0803 	0.0821 	0.0815 	0.0948 	0.0935 	0.0948 	0.0944 	: 	0.0809 	0.0802 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,NAC,BE	0.1128 	0.1121 	0.1176 	0.1188 	0.1120 	0.1104 	0.1111 	0.1034 	0.0984 	0.0961 	0.0899 	0.0774 	0.0740 	0.0706 	0.0605 
KWH1000-2499,NETC,NAC,BG	0.0528 	0.0510 	0.0494 	0.0469 	0.0448 	0.0439 	0.0415 	0.0360 	0.0575 	0.0612 	0.0580 	0.0421 	0.0480 	0.0530 	0.0511 
KWH1000-2499,NETC,NAC,CY	0.0307 	0.0325 	0.0337 	0.0319 	0.0313 d	0.0375 	0.0377 	0.0377 	0.0374 	0.0374 	0.0364 	0.0355 	: 	: 	: 
KWH1000-2499,NETC,NAC,CZ	1.8500 	2.3500 	2.2400 	2.1400 	2.0000 	2.4900 	2.4400 	2.4800 	2.8200 	2.6300 	2.6600 	2.4300 	2.2400 	2.1100 	2.1100 
KWH1000-2499,NETC,NAC,DE	0.0937 	0.0992 	0.0938 	0.0883 	0.0841 	0.0790 	0.0757 	0.0727 	0.0728 	0.0684 	0.0689 	0.0670 	0.0658 	0.0635 	0.0727 
KWH1000-2499,NETC,NAC,DK	0.5239 	0.5396 	0.5390 	0.5596 	0.5450 	0.4949 	0.4756 	0.5462 	0.5404 	0.5532 	0.5469 	0.5230 	0.5176 	0.4887 	0.6015 
KWH1000-2499,NETC,NAC,EE	0.0506 	0.0505 	0.0497 	0.0525 	0.0502 	0.0529 	0.0535 	0.0533 	0.0542 	0.0313 	0.0456 	0.6400 	0.5970 	0.5760 	0.5890 
KWH1000-2499,NETC,NAC,EL	0.0290 	0.0284 	0.0291 	0.0292 	0.0350 	0.0309 	0.0304 	0.0295 	0.0290 	0.0303 	0.0301 	0.0302 	0.0295 	: 	: 
KWH1000-2499,NETC,NAC,ES	0.0841 	0.0926 	0.0781 	0.0626 d	0.0653 d	0.0690 	0.0629 	0.0579 	0.0422 	0.1068 	0.0841 	0.0770 	0.0471 	0.0442 	: 
KWH1000-2499,NETC,NAC,FI	0.1121 	0.1100 	0.1063 	0.1020 	0.0951 	0.0853 	0.0773 	0.0775 	0.0756 	0.0749 	0.0713 	0.0683 	0.0660 	0.0572 	0.0551 
KWH1000-2499,NETC,NAC,FR	0.0803 	0.0769 	0.0730 	0.0680 	0.0594 	0.0572 	0.0554 	0.0610 	0.0557 	0.0555 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,NAC,GE	0.0258 e	0.0107 e	0.0339 e	0.0882 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,NAC,HR	0.3634 	0.3651 	0.3637 	0.3639 	0.3623 	0.3632 	0.3618 	0.3578 	0.3630 	0.3635 	0.3170 	0.3100 	0.3100 	0.3100 	0.3100 
KWH1000-2499,NETC,NAC,HU	16.5735 	16.0449 	15.0338 	14.8272 	14.2922 	13.7462 	14.1390 	14.4055 	14.2064 	16.0739 	: 	15.6400 	15.0705 	13.8460 	13.3560 
KWH1000-2499,NETC,NAC,IE	0.1322 	0.1289 e	0.0987 	0.0992 	0.0945 	0.0814 	0.0828 	0.0918 	0.0934 	0.0842 	0.0749 	: 	: 	: 	: 
KWH1000-2499,NETC,NAC,IS	13.1315 	12.4998 	12.1943 	11.9615 	12.1359 	12.7633 	12.6055 	12.5640 	12.3143 	14.6257 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,NAC,IT	0.0666 	0.0627 	0.0666 	0.0583 d	0.0566 d	0.0454 d	0.0408 	0.0362 	0.0310 	0.0298 	0.0298 	0.0299 	0.0268 	0.0257 	: 
KWH1000-2499,NETC,NAC,LI	0.1282 	0.1289 	0.1288 	0.1287 	0.0833 	0.0833 	0.0833 	0.0833 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,NAC,LT	0.0580 	0.0564 	0.0483 	0.0435 	0.0411 	0.0430 	0.0364 	0.1370 	0.1434 	0.1989 	0.1958 	0.1939 	0.1440 	0.1335 	0.1524 
KWH1000-2499,NETC,NAC,LU	0.1069 	0.1106 	0.1024 	0.1005 	0.0851 	0.0856 	0.0820 	0.0820 	0.0818 	0.0831 	0.0813 	0.0830 	0.0808 	0.0876 	0.0882 
KWH1000-2499,NETC,NAC,LV	0.0579 	0.0643 	0.0582 	0.0580 	0.0601 	0.0595 	0.0564 	0.0564 	0.0396 	0.0396 	0.0396 	0.0328 	0.0327 	0.0328 	0.0234 
KWH1000-2499,NETC,NAC,MD	0.5650 	0.6688 	0.6900 	0.7180 	0.6776 	0.6614 	0.6000 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,NAC,ME	0.0467 	0.0467 	0.0489 	0.0487 	0.0486 	0.0506 	0.0496 	0.0497 	0.0505 	0.0467 	0.0403 	: 	: 	: 	: 
KWH1000-2499,NETC,NAC,MK	1.3258 	1.2460 	1.2258 	1.0445 	1.1212 	1.6090 	0.2613 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,NAC,MT	0.0270 	0.0310 	0.0250 	0.0240 	0.0250 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0094 
KWH1000-2499,NETC,NAC,NL	0.1057 	0.1001 	0.0979 	0.0974 	0.0930 	0.0955 	0.0958 	0.1019 	0.1077 	0.1033 	0.0916 	0.0866 	0.0901 	0.0656 	0.0642 
KWH1000-2499,NETC,NAC,NO	1.4172 	1.3652 	1.3635 	1.2945 	1.1934 	1.1200 	1.1100 	1.0891 	1.1006 	1.1040 	1.1340 	1.1216 	1.0320 	0.9904 	0.9674 
KWH1000-2499,NETC,NAC,PL	0.2325 	0.2295 	0.2056 	0.2114 	0.2358 	0.2498 	0.2595 	0.2530 	0.2495 	0.2468 	0.2369 	0.2318 	0.2107 	0.2153 	0.2675 
KWH1000-2499,NETC,NAC,PT	0.0470 	0.0489 	0.0536 	0.0550 	0.0572 	0.0606 	0.0523 	0.0668 	0.0596 	0.0506 	0.0528 	0.0551 	0.0616 	0.0531 	: 
KWH1000-2499,NETC,NAC,RO	0.2096 	0.2081 	0.1993 	0.1910 	0.1929 	0.2042 	0.2318 	0.2345 	0.2336 	0.2190 	0.2124 	0.2107 	0.2083 	0.2028 	0.1982 
KWH1000-2499,NETC,NAC,RS	5.1219 	4.5221 	4.2117 	4.2683 	4.2957 	4.2857 	4.3133 	4.4892 	4.8068 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,NAC,SE	0.9676 	0.8526 	1.0675 	1.0063 	0.9806 	0.9434 	0.8820 	0.8608 	0.7678 	0.7322 	0.7393 	0.6580 	0.6530 	0.6330 	0.5471 
KWH1000-2499,NETC,NAC,SI	0.0648 	0.0582 	0.0694 	0.0717 	0.0702 	0.0708 	0.0685 	0.0699 	0.0698 	0.0704 	0.0680 	0.0673 	0.0681 	0.0585 	: 
KWH1000-2499,NETC,NAC,SK	0.0582 	0.0581 	0.0596 	0.0625 	0.0623 	0.0973 	0.0930 	0.0841 	0.0898 	0.0875 	0.0892 	0.0806 	0.0741 	2.4600 	2.5300 
KWH1000-2499,NETC,NAC,TR	0.2532 	0.2206 	0.1789 	0.1296 	0.1168 	0.1108 	0.1106 	0.0841 	0.0789 	0.0782 	0.0711 	0.0384 	0.0327 	0.0272 	: 
KWH1000-2499,NETC,NAC,UA	: 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,NAC,UK	: 	: 	0.0477 	0.0409 	0.0448 	0.0458 	0.0401 	0.0371 	0.0332 	0.0314 	0.0315 	: 	0.0390 	0.0390 	: 
KWH1000-2499,NETC,NAC,XK	0.0276 	0.0309 	0.0342 	0.0254 	0.0254 	0.0278 	0.0276 	0.0238 	0.0253 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,PPS,AL	0.0860 e	0.0871 e	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,PPS,AT	0.0743 	0.0688 	0.0696 	0.0680 	0.0645 	0.0722 	0.0669 	0.0651 	0.0654 	0.0657 	0.0648 	0.0670 	0.0658 	0.0667 	: 
KWH1000-2499,NETC,PPS,BA	0.0802 	0.0817 	0.0811 	0.0953 	0.0943 	0.1024 	0.1024 	: 	0.0848 	0.0850 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,PPS,BE	0.1011 	0.0993 	0.1042 	0.1053 	0.0992 	0.1033 	0.1007 	0.0932 	0.0874 	0.0867 	0.0810 	0.0698 	0.0649 	0.0631 	0.0554 
KWH1000-2499,NETC,PPS,BG	0.0501 	0.0490 	0.0475 	0.0466 	0.0455 	0.0484 	0.0459 	0.0390 	0.0618 	0.0666 	0.0626 	0.0486 	0.0549 	0.0634 	0.0651 
KWH1000-2499,NETC,PPS,CY	0.0335 	0.0359 	0.0382 	0.0358 	0.0351 d	0.0424 	0.0414 	0.0429 	0.0419 	0.0412 	0.0396 	0.0400 	: 	: 	: 
KWH1000-2499,NETC,PPS,CZ	0.0966 	0.1260 	0.1201 	0.1173 	0.1105 	0.1452 	0.1411 	0.1422 	0.1612 	0.1486 	0.1498 	0.1329 	0.1212 	0.1156 	0.1228 
KWH1000-2499,NETC,PPS,DE	0.0848 	0.0897 	0.0848 	0.0813 	0.0775 	0.0762 	0.0726 	0.0698 	0.0693 	0.0662 	0.0663 	0.0642 	0.0612 	0.0611 	0.0710 
KWH1000-2499,NETC,PPS,DK	0.0528 	0.0544 	0.0544 	0.0561 	0.0545 	0.0495 	0.0490 	0.0544 	0.0532 	0.0549 	0.0543 	0.0515 	0.0497 	0.0476 	0.0593 
KWH1000-2499,NETC,PPS,EA	0.0783 	0.0789 	0.0726 	0.0704 	0.0671 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,PPS,EE	0.0631 	0.0621 	0.0612 	0.0659 	0.0644 	0.0742 	0.0738 	0.0714 	0.0743 	0.0702 	0.0656 	0.0603 	0.0545 	0.0519 	0.0554 
KWH1000-2499,NETC,PPS,EL	0.0351 	0.0344 	0.0353 	0.0351 	0.0418 	0.0374 	0.0372 	0.0356 	0.0340 	0.0339 	0.0324 	0.0328 	0.0318 	: 	: 
KWH1000-2499,NETC,PPS,ES	0.0896 	0.0993 	0.0838 	0.0672 d	0.0711 d	0.0772 	0.0703 	0.0647 	0.0469 	0.1180 	0.0901 	0.0819 	0.0499 	0.0479 	: 
KWH1000-2499,NETC,PPS,EU27_2020	0.0781 	0.0785 	0.0739 	0.0723 	0.0700 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,PPS,FI	0.0887 	0.0875 	0.0858 	0.0823 	0.0765 	0.0704 	0.0623 	0.0623 	0.0613 	0.0621 	0.0593 	0.0572 	0.0550 	0.0487 	0.0475 
KWH1000-2499,NETC,PPS,FR	0.0738 	0.0707 	0.0671 	0.0610 	0.0530 	0.0534 	0.0517 	0.0556 	0.0502 	0.0495 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,PPS,HR	0.0748 	0.0749 	0.0747 	0.0747 	0.0748 	0.0767 	0.0752 	0.0740 	0.0754 	0.0754 	0.0633 	0.0604 	0.0605 	0.0632 	0.0655 
KWH1000-2499,NETC,PPS,HU	0.0744 	0.0752 	0.0705 	0.0722 	0.0721 	0.0785 	0.0808 	0.0824 	0.0830 	0.0956 	: 	0.0952 	0.0903 	0.0836 	0.0825 
KWH1000-2499,NETC,PPS,IE	0.1103 	0.1073 e	0.0822 	0.0850 	0.0817 	0.0755 	0.0743 	0.0825 	0.0848 	0.0768 	0.0679 	: 	: 	: 	: 
KWH1000-2499,NETC,PPS,IS	0.0586 	0.0597 	0.0610 	0.0612 	0.0627 	0.0679 	0.0679 	0.0677 	0.0673 	0.0813 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,PPS,IT	0.0670 	0.0630 	0.0669 	0.0581 d	0.0563 d	0.0463 d	0.0406 	0.0361 	0.0307 	0.0297 	0.0292 	0.0292 	0.0259 	0.0255 	: 
KWH1000-2499,NETC,PPS,LT	0.0851 	0.0841 	0.0720 	0.0660 	0.0637 	0.0722 	0.0603 	0.0647 	0.0677 	0.0956 	0.0939 	0.0950 	0.0673 	0.0614 	0.0768 
KWH1000-2499,NETC,PPS,LU	0.0826 	0.0877 	0.0812 	0.0805 	0.0689 	0.0725 	0.0684 	0.0688 	0.0675 	0.0704 	0.0686 	0.0687 	0.0670 	0.0755 	0.0774 
KWH1000-2499,NETC,PPS,LV	0.0784 	0.0869 	0.0787 	0.0801 	0.0852 	0.0897 	0.0836 	0.0822 	0.0815 	0.0825 	0.0838 	0.0708 	0.0680 	0.0649 	0.0502 
KWH1000-2499,NETC,PPS,ME	0.0926 	0.0920 	0.0963 	0.0952 	0.0975 	0.1048 	0.0999 	0.0968 	0.1007 	0.0951 	0.0821 	: 	: 	: 	: 
KWH1000-2499,NETC,PPS,MK	0.0468 	0.0445 	0.0437 	0.0372 	0.0406 	0.0627 	0.0104 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,PPS,MT	0.0306 	0.0362 	0.0297 	0.0284 	0.0301 	0.0274 	0.0274 	0.0274 	0.0282 	0.0287 	0.0291 	0.0301 	0.0302 	0.0307 	0.0313 
KWH1000-2499,NETC,PPS,NL	0.0913 	0.0856 	0.0837 	0.0851 	0.0817 	0.0884 	0.0883 	0.0931 	0.0984 	0.0942 	0.0832 	0.0778 	0.0805 	0.0608 	0.0608 
KWH1000-2499,NETC,PPS,NO	0.0936 	0.0939 	0.0939 	0.0904 	0.0854 	0.0864 	0.0884 	0.0870 	0.0903 	0.0941 	0.0952 	0.0950 	0.0867 	0.0884 	0.0894 
KWH1000-2499,NETC,PPS,PL	0.0868 	0.0874 	0.0783 	0.0820 	0.0929 	0.1057 	0.1079 	0.1045 	0.1034 	0.1023 	0.0978 	0.0972 	0.0850 	0.0906 	0.1178 
KWH1000-2499,NETC,PPS,PT	0.0552 	0.0582 	0.0638 	0.0653 	0.0682 	0.0775 	0.0671 	0.0859 	0.0764 	0.0635 	0.0643 	0.0665 	0.0732 	0.0639 	: 
KWH1000-2499,NETC,PPS,RO	0.0820 	0.0826 	0.0791 	0.0775 	0.0821 	0.0937 	0.1048 	0.1026 	0.1060 	0.1031 	0.1007 	0.1011 	0.0989 	0.0992 	0.1063 
KWH1000-2499,NETC,PPS,RS	0.0819 	0.0737 	0.0686 	0.0706 	0.0723 	0.0792 	0.0802 	0.0789 	0.0873 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NETC,PPS,SE	0.0739 	0.0645 	0.0808 	0.0770 	0.0761 	0.0789 	0.0736 	0.0726 	0.0658 	0.0631 	0.0630 	0.0558 	0.0551 	0.0564 	0.0500 
KWH1000-2499,NETC,PPS,SI	0.0771 	0.0695 	0.0829 	0.0855 	0.0846 	0.0904 	0.0857 	0.0874 	0.0867 	0.0870 	0.0814 	0.0801 	0.0795 	0.0720 	: 
KWH1000-2499,NETC,PPS,SK	0.0723 	0.0737 	0.0757 	0.0814 	0.0828 	0.1497 	0.1406 	0.1262 	0.1322 	0.1281 	0.1298 	0.1206 	0.1090 	0.1151 	0.1115 
KWH1000-2499,NETC,PPS,TR	0.0770 	0.0782 	0.0634 	0.0538 	0.0580 	0.0666 	0.0708 	0.0530 	0.0536 	0.0565 	0.0541 	0.0312 	0.0270 	0.0239 	: 
KWH1000-2499,NETC,PPS,UK	: 	: 	0.0468 	0.0406 	0.0449 	0.0497 	0.0435 	0.0396 	0.0359 	0.0343 	0.0340 	: 	0.0447 	0.0468 	: 
KWH1000-2499,NRG_SUP,EUR,AL	: u	: u	0.0778 	0.0759 	0.0713 	0.0695 	0.0683 	: 	: 	: 	: 	: 	: 	: 	: 
KWH1000-2499,NRG_SUP,EUR,AT	0.0807 	0.0801 	0.0750 	0.0674 	0.0663 	0.0672 	0.0715 	0.0784 	0.0829 	0.0832 	0.0867 	0.0747 	0.0747 	0.0705 	: 
KWH1000-2499,NRG_SUP,EUR,BA	0.0395 	0.0404 	0.0401 	0.0337 	0.0344 	0.0333 	0.0332 	: 	0.0368 	0.0363 	: 	: 	: 	: 	: 
KWH1000-2499,NRG_SUP,EUR,BE	0.0916 	0.0889 	0.0967 	0.0917 	0.0840 	0.0863 	0.0880 	0.0780 	0.0825 	0.0902 	0.0906 	0.0867 	0.0835 	0.1173 	0.0818 
KWH1000-2499,NRG_SUP,EUR,BG	0.0625 	0.0589 	0.0579 	0.0590 	0.0582 	0.0567 	0.0589 	0.0567 	0.0433 	0.0480 	0.0419 	0.0477 	0.0435 	0.0399 	0.0342 
KWH1000-2499,NRG_SUP,EUR,CY	0.1180 	0.1119 	0.1326 	0.1266 	0.1071 d	0.0902 	0.1073 	0.1527 	0.1644 	0.2028 	0.1665 	0.1324 	: 	: 	: 
KWH1000-2499,NRG_SUP,EUR,CZ	0.1140 	0.0854 	0.0842 	0.0694 	0.0653 	0.0625 	0.0624 	0.0605 	0.0678 	0.0748 	0.0701 	0.0732 	0.0831 	0.0752 	0.0588 
KWH1000-2499,NRG_SUP,EUR,DE	0.0914 	0.0742 	0.0683 	0.0775 	0.0797 	0.0829 	0.0885 	0.0920 	0.0976 	0.0958 	0.0908 	0.0993 	0.0904 	0.0903 	0.0747 
KWH1000-2499,NRG_SUP,EUR,DK	0.0747 	0.0409 	0.0539 	0.0503 	0.0388 	0.0459 	0.0433 	0.0499 	0.0520 	0.0565 	0.0712 	0.0636 	0.0501 	0.0834 	0.0439 
KWH1000-2499,NRG_SUP,EUR,EA	0.0990 	0.0808 	0.0826 	0.0939 	0.0879 	0.0874 	0.0927 	0.0946 	0.0964 	0.0874 	0.0907 	0.0889 	0.0919 	0.0932 	0.0727 
KWH1000-2499,NRG_SUP,EUR,EE	0.0796 	0.0527 	0.0571 	0.0529 	0.0451 	0.0456 	0.0454 	0.0474 	0.0484 	0.0498 	0.0321 	0.0320 	0.0329 	0.0313 	0.0284 
